task,model,split_strategy,seed,training_seconds,inference_seconds,runtime_seconds,test_sample_count,data_provenance
soc,gru,chronological,11,1.9500485000025947,0.005979699999443255,1.956028200002038,576,synthetic data generated inside this project
soc,coulomb_counting,chronological,11,0.0,0.035870299998350674,0.035870299998350674,720,synthetic data generated inside this project
soc,ocv_lookup,chronological,11,0.0,7.669999831705354e-05,7.669999831705354e-05,720,synthetic data generated inside this project
soc,ekf,chronological,11,0.0,0.04299350000292179,0.04299350000292179,720,synthetic data generated inside this project
soc,ridge,chronological,42,0.003096600001299521,0.0001795999996829778,0.0032762000009824988,720,synthetic data generated inside this project
soc,random_forest,chronological,42,1.672199399999954,0.005932700001721969,1.678132100001676,720,synthetic data generated inside this project
soc,hist_gradient_boosting,chronological,42,1.134044400001585,0.00797479999891948,1.1420192000005045,720,synthetic data generated inside this project
soc,mlp,chronological,42,0.291990400000941,0.0004626000009011477,0.29245300000184216,720,synthetic data generated inside this project
soc,narx,chronological,42,0.32639909999852534,1.3984983000009379,1.7248973999994632,720,synthetic data generated inside this project
soc,temporal_cnn,chronological,42,0.302685400001792,0.0010555000008025672,0.30374090000259457,576,synthetic data generated inside this project
soc,gru,chronological,42,1.8917289000019082,0.003244800001994008,1.8949737000039022,576,synthetic data generated inside this project
soc,coulomb_counting,chronological,42,0.0,0.03368909999699099,0.03368909999699099,720,synthetic data generated inside this project
soc,ocv_lookup,chronological,42,0.0,9.999999747378752e-05,9.999999747378752e-05,720,synthetic data generated inside this project
soc,ekf,chronological,42,0.0,0.04430019999927026,0.04430019999927026,720,synthetic data generated inside this project
soc,ridge,chronological,73,0.0015069000000949018,0.00011420000009820797,0.0016211000001931097,720,synthetic data generated inside this project
soc,random_forest,chronological,73,1.6102365000006102,0.005967400000372436,1.6162039000009827,720,synthetic data generated inside this project
soc,hist_gradient_boosting,chronological,73,1.3240815999997722,0.0032409000014013145,1.3273225000011735,720,synthetic data generated inside this project
soc,mlp,chronological,73,0.16052579999814043,0.0003709999982675072,0.16089679999640794,720,synthetic data generated inside this project
soc,narx,chronological,73,0.2613352999978815,0.9695735999994213,1.2309088999973028,720,synthetic data generated inside this project
soc,temporal_cnn,chronological,73,0.49767200000133016,0.0008195000009436626,0.4984915000022738,576,synthetic data generated inside this project
soc,gru,chronological,73,1.2594099000016286,0.002180499999667518,1.261590400001296,576,synthetic data generated inside this project
soc,coulomb_counting,chronological,73,0.0,0.02722169999833568,0.02722169999833568,720,synthetic data generated inside this project
soc,ocv_lookup,chronological,73,0.0,0.0001097999993362464,0.0001097999993362464,720,synthetic data generated inside this project
soc,ekf,chronological,73,0.0,0.032485399999131914,0.032485399999131914,720,synthetic data generated inside this project
soh,ridge,held_out_cell,11,0.0008189999971364159,7.390000246232376e-05,0.0008928999995987397,10,synthetic data generated inside this project
